#,Grade,Word,Translation/Notes
228,Serf,Dishevelled (UK)/Disheveled (US),"Débraillé (personne : négligé)/Échevelé, ébouriffé"
229,Serf,To dishevel something/someone,"Ébouriffer, décoiffer (quelque chose)/Ébouriffer les cheveux de (quelqu'un), décoiffer (quelqu'un)"
230,Serf,Shrill,"Perçant (bruit)/Strident (voix). To shrill : retentir, résonner. To shrill something (cry in a high-pitched voice) : crier d'une voix perçante"
231,Serf,To put (somebody) out,"Énerver, déranger (quelqu'un)"
232,Serf,To put out,"(US) (Vulgaire) écarter les cuisses, les jambes (faire l'amour avec une femme)"
233,Serf,Put out (at/about something),"(Adjectif) Énervé, en colère (par/à cause de quelque chose)"
234,Serf,To put somebody out,"Endormir (quelqu'un) (anesthésier, endormir quelqu'un... un peu familier)"
235,Serf,To put (something) out/To put out (something),Publier
236,Serf,To put (something) out,"Éteindre (un feu, une lumière)"
237,Serf,To put out to sear,Prendre la mer
238,Serf,To put out a feeler/To put a feeler out/To put out feelers/To put feelers out,Tâter le terrain (figuratif: gagner de l'information ou une opinion)
239,Serf,Putout/Put-out,Retrait (en baseball)
240,Serf,Yonder,Là-bas (vieux) (e.g. away down yonder)/Back yonder (US): il y a très longtemps
241,Serf,To pry,Être indiscret (ask personal questions)
242,Serf,To pry into (something),"Se mêler de, s'immiscer dans, fourrer son nez dans"
243,Serf,To pry something (US),Ouvrir quelque chose en faisant levier (forcer une porte)
244,Serf,To rustle,"Bruire, froufrouter (tissu). Nom : bruissement, froissement (papier), froufrou (tissu)"
245,Serf,Strap,Sangle (d'un sac : straps of their backs)
246,Serf,To trot,Trotter (avancer plus vite qu'en marchant). A trot : le trot (horse's gait). The trots : la diarrhée.
247,Serf,To hoist,"Hisser, élever, remonter"
248,Serf,Gloom,Obscurité/Morosité
249,Serf,Stoutly,"Vigoureusement, fermement/Farouchement"
250,Serf,Slack,"Lâche (corde), détendu (élastique), mal serré (noeud)/Calme (affaires)/Creux (période)/Négligé, peu sérieux"
251,Serf,To be slacking (UK),"Se laisser aller, se relâcher (avoid work)"
252,Serf,Willow,Saule
253,Serf,Hedgerow,Haie (row of bushes)
254,Serf,Coppice (UK),Taillis (Woodland)
255,Serf,Winding,"Sinueux, tortueux/Enroulement (électricité)"
256,Serf,Alder,Aulne
257,Serf,Leaning,"Penché, incliné/Tendance, penchant"
258,Serf,To twinkle,"Scintiller, briller. Nom : lueur (gleam of light)"
259,Serf,To peep,"Jeter un coup d'oeil/Nom : coup d'oeil ou pépiement, gazouillis (oiseau : tweet). Un mot. Peeping : être visible."
260,Serf,Wisp,"Mèche (de cheveux)/Fine volute (fumée : wisp of smoke, fine trail of smoke)/Feu follet"
261,Serf,,
262,Serf,,
263,Serf,,
264,Serf,,
265,Serf,,
266,Serf,,
267,Serf,,
268,Serf,,
269,Serf,,
270,Serf,,
271,Serf,,
272,Serf,,
273,Serf,,
274,Serf,,
275,Serf,,
276,Serf,,
277,Serf,,
278,Serf,,
279,Serf,,
280,Serf,,
281,Serf,,
282,Serf,,
283,Serf,,
284,Serf,,
285,Serf,,
286,Serf,,
287,Serf,,
288,Serf,,
289,Serf,,
290,Serf,,
291,Serf,,
292,Serf,,
293,Serf,,
294,Serf,,
295,Serf,,
296,Serf,,
297,Serf,,
298,Serf,,
299,Serf,,
300,Serf,,
301,Serf,,
302,Serf,,
303,Serf,,
304,Serf,,
305,Serf,,
306,Serf,,
307,Serf,,
308,Serf,,
309,Serf,,
310,Serf,,
311,Serf,,
312,Serf,,
313,Serf,,
314,Serf,,
315,Serf,,
316,Serf,,
317,Serf,,
318,Serf,,
319,Serf,,
320,Serf,,
321,Serf,,
322,Serf,,
323,Serf,,
324,Serf,,
325,Serf,,
326,Serf,,
327,Serf,,
328,Serf,,
329,Serf,,
330,Serf,,
331,Serf,,
332,Serf,,
333,Serf,,
334,Serf,,
335,Serf,,
336,Serf,,
337,Serf,,
338,Serf,,
339,Serf,,
340,Serf,,
341,Serf,,
342,Serf,,
343,Serf,,
344,Serf,,
345,Serf,,
346,Serf,,
347,Serf,,
348,Serf,,
349,Serf,,
350,Serf,,
351,Serf,,
352,Serf,,
353,Serf,,
354,Serf,,
355,Serf,,
356,Serf,,
357,Serf,,
358,Serf,,
359,Serf,,
360,Serf,,
361,Serf,,
362,Serf,,
363,Serf,,
364,Serf,,
365,Serf,,
366,Serf,,
367,Serf,,
368,Serf,,
369,Serf,,
370,Serf,,
371,Serf,,
372,Serf,,
373,Serf,,
374,Serf,,
375,Serf,,
376,Serf,,
377,Serf,,
378,Serf,,
379,Serf,,
380,Serf,,
381,Serf,,
382,Serf,,
383,Serf,,
384,Serf,,
385,Serf,,
386,Serf,,
387,Serf,,
388,Serf,,
389,Serf,,
390,Serf,,
391,Serf,,
392,Serf,,
393,Serf,,
394,Serf,,
395,Serf,,
396,Serf,,
397,Serf,,
398,Serf,,
399,Serf,,
400,Serf,,
401,Serf,,
402,Serf,,
403,Serf,,
404,Serf,,
405,Serf,,
406,Serf,,
407,Serf,,
408,Serf,,
409,Serf,,
410,Serf,,
411,Serf,,
412,Serf,,
413,Serf,,
414,Serf,,
415,Serf,,
416,Serf,,
417,Serf,,
418,Serf,,
419,Serf,,
420,Serf,,
421,Serf,,
422,Serf,,
423,Serf,,
424,Serf,,
425,Serf,,
426,Serf,,
427,Serf,,
428,Serf,,
429,Serf,,
430,Serf,,
431,Serf,,
432,Serf,,
433,Serf,,
434,Serf,,
435,Serf,,
436,Serf,,
437,Serf,,
438,Serf,,
439,Serf,,
440,Serf,,
441,Serf,,
442,Serf,,
443,Serf,,
444,Serf,,
445,Serf,,
446,Serf,,
447,Serf,,
448,Serf,,
449,Serf,,
450,Serf,,
451,Serf,,
452,Serf,,
453,Serf,,
454,Serf,,
455,Serf,,
456,Serf,,
457,Serf,,
458,Serf,,
459,Serf,,
460,Serf,,
461,Serf,,
462,Serf,,
463,Serf,,
464,Serf,,
465,Serf,,
466,Serf,,
467,Serf,,
468,Serf,,
469,Serf,,
470,Serf,,
471,Serf,,
472,Serf,,
473,Serf,,
474,Serf,,
475,Serf,,
476,Serf,,
477,Serf,,
478,Serf,,
479,Serf,,
480,Serf,,
481,Serf,,
482,Serf,,
483,Serf,,
484,Serf,,
485,Serf,,
486,Serf,,
487,Serf,,
488,Serf,,
489,Serf,,
490,Serf,,
491,Serf,,
492,Serf,,
493,Serf,,
494,Serf,,
495,Serf,,
496,Serf,,
497,Serf,,
498,Serf,,
499,Serf,,
500,Serf,,
501,Serf,,
502,Serf,,
503,Serf,,
504,Serf,,
505,Serf,,
506,Serf,,
507,Serf,,
508,Serf,,
509,Serf,,
510,Serf,,
511,Serf,,
512,Serf,,
513,Serf,,
514,Serf,,
515,Serf,,
516,Serf,,
517,Serf,,
518,Serf,,
519,Serf,,
520,Serf,,
521,Serf,,
522,Serf,,
523,Serf,,
524,Serf,,
525,Serf,,
526,Serf,,
527,Serf,,
528,Serf,,
529,Serf,,
530,Serf,,
531,Serf,,
532,Serf,,
533,Serf,,
534,Serf,,
535,Serf,,
536,Serf,,
537,Serf,,
538,Serf,,
539,Serf,,
540,Serf,,
541,Serf,,
542,Serf,,
543,Serf,,
544,Serf,,
545,Serf,,
546,Serf,,
547,Serf,,
548,Serf,,
549,Serf,,
550,Serf,,
551,Serf,,
552,Serf,,
553,Serf,,
554,Serf,,
555,Serf,,
556,Serf,,
557,Serf,,
558,Serf,,
559,Serf,,
560,Serf,,
561,Serf,,
562,Serf,,
563,Serf,,
564,Serf,,
565,Serf,,
566,Serf,,
567,Serf,,
568,Serf,,
569,Serf,,
570,Serf,,
571,Serf,,
572,Serf,,
573,Serf,,
574,Serf,,
575,Serf,,
576,Serf,,
577,Serf,,
578,Serf,,
579,Serf,,
580,Serf,,
581,Serf,,
582,Serf,,
583,Serf,,
584,Serf,,
585,Serf,,
586,Serf,,
587,Serf,,
588,Serf,,
589,Serf,,
590,Serf,,
591,Serf,,
592,Serf,,
593,Serf,,
594,Serf,,
595,Serf,,
596,Serf,,
597,Serf,,
598,Serf,,
599,Serf,,
600,Serf,,
601,Serf,,
602,Serf,,
603,Serf,,
604,Serf,,
605,Serf,,
606,Serf,,
607,Serf,,
608,Serf,,
609,Serf,,
610,Serf,,
611,Serf,,
612,Serf,,
613,Serf,,
614,Serf,,
615,Serf,,
616,Serf,,
617,Serf,,
618,Serf,,
619,Serf,,
620,Serf,,
621,Serf,,
622,Serf,,
623,Serf,,
624,Serf,,
625,Serf,,
626,Serf,,
627,Serf,,
628,Serf,,
629,Serf,,
630,Serf,,
631,Serf,,
632,Serf,,
633,Serf,,
634,Serf,,
635,Serf,,
636,Serf,,
637,Serf,,
638,Serf,,
639,Serf,,
640,Serf,,
641,Serf,,
642,Serf,,
643,Serf,,
644,Serf,,
645,Serf,,
646,Serf,,
647,Serf,,
648,Serf,,
649,Serf,,
650,Serf,,
651,Serf,,
652,Serf,,
653,Serf,,
654,Serf,,
655,Serf,,
656,Serf,,
657,Serf,,
658,Serf,,
659,Serf,,
660,Serf,,
661,Serf,,
662,Serf,,
663,Serf,,
664,Serf,,
665,Serf,,
666,Serf,,
667,Serf,,
668,Serf,,
669,Serf,,
670,Serf,,
671,Serf,,
672,Serf,,
673,Serf,,
674,Serf,,
675,Serf,,
676,Serf,,
677,Serf,,
678,Serf,,
679,Serf,,
680,Serf,,
681,Serf,,
682,Serf,,
683,Serf,,
684,Serf,,
685,Serf,,
686,Serf,,
687,Serf,,
688,Serf,,
689,Serf,,
690,Serf,,
691,Serf,,
692,Serf,,
693,Serf,,
694,Serf,,
695,Serf,,
696,Serf,,
697,Serf,,
698,Serf,,
699,Serf,,
700,Serf,,
701,Serf,,
702,Serf,,
703,Serf,,
704,Serf,,
705,Serf,,
706,Serf,,
707,Serf,,
708,Serf,,
709,Serf,,
710,Serf,,
711,Serf,,
712,Serf,,
713,Serf,,
714,Serf,,
715,Serf,,
716,Serf,,
717,Serf,,
718,Serf,,
719,Serf,,
720,Serf,,
721,Serf,,
722,Serf,,
723,Serf,,
724,Serf,,
725,Serf,,
726,Serf,,
727,Serf,,
728,Serf,,
729,Serf,,
730,Serf,,
731,Serf,,
732,Serf,,
733,Serf,,
734,Serf,,
735,Serf,,
736,Serf,,
737,Serf,,
738,Serf,,
